station,ele,ele_stand,dis,cam_angle,ridge,,
ML1001,991,-1.028878406,0.424094172,1,0,,1302.948276
ML1003,1427,0.409151559,1.599326534,1,0,,303.1925694
ML1005,1510,0.68290497,1.540478601,1,0,,
ML1006,1554,0.82802726,1.603054645,1,0,,
ML1007,1643,1.121570074,1.523944766,1,0,,
ML1008,1710,1.342551743,1.386127332,1,1,,
ML1009,1778,1.566831645,1.254374694,1,0,,
ML1011,1817,1.695462766,1.028881959,1,0,,
ML1012,1773,1.550340476,1.107215568,1,0,,
ML1013,1709,1.339253509,1.237522742,0,0,,
ML1014,1608,1.006131888,1.360159918,1,0,,
ML1015,1534,0.762062582,1.245581049,1,0,,
ML1016,1463,0.527887978,1.434818999,0,1,,
ML1017,1467,0.541080913,1.669531167,1,1,,
ML1018,1499,0.646624397,1.362071384,1,0,,
ML1019,1504,0.663115566,1.085304759,1,0,,
ML1020,1447,0.475116236,0.939604826,1,0,,
ML1021,1449,0.481712704,0.785199527,1,0,,
ML1022,1498,0.643326163,0.429232661,1,0,,
ML1023,1573,0.890693703,0.329732043,1,0,,
ML1024,1520,0.715887308,0.237391865,1,0,,
ML1025,1457,0.508098575,0.006006892,1,0,,
ML1026,1430,0.41904626,-0.111028644,1,0,,
ML1027,1299,-0.013022376,-0.300895724,0,1,,
ML1028,1055,-0.817791439,-0.513309387,1,1,,
ML2001,1102,-0.662774447,-0.020240444,1,1,,
ML2002,1191,-0.369231633,-0.546767463,1,1,,
ML2003,1249,-0.177934069,-0.813170924,0,1,,
ML2004,1220,-0.273582851,-1.277959601,1,0,,
ML2005,1294,-0.029513545,-1.158753062,1,1,,
ML2006,1257,-0.151548198,-0.91962747,1,0,,
ML2007,951,-1.160807761,-0.318359871,1,0,,
ML3001,1543,0.791746687,0.267560221,1,0,,
ML3003,1451,0.488309172,0.778526034,1,0,,
ML3004,1232,-0.234004045,0.480440561,1,0,,
ML3006,1102,-0.662774447,-0.803963385,1,0,,
MG1001,1312,0.029854664,-0.768235875,1,0,,
MG1002,1427,0.409151559,-0.806411249,1,1,,
MG1003,1391,0.29041514,-1.005168273,1,0,,
MG1004,1387,0.277222204,-1.104563731,1,0,,
MG1005,1376,0.240941632,-1.313387389,1,0,,
MG1006,1343,0.132099914,-1.126316697,1,0,,
MG2001,1370,0.221152229,-0.696706943,1,1,,
MG2002,1432,0.425642728,-0.526342679,1,1,,
MG2003,1375,0.237643398,0.100177487,1,1,,
MG2004,1393,0.297011607,-0.547469575,1,0,,
MG2005,1224,-0.260389916,-0.670979663,1,0,,
MG2006,1177,-0.415406907,-0.801174123,1,0,,
MG2007,1376,0.240941632,-0.576098753,1,1,,
LSL1001,674,-2.074418541,-1.065817968,1,0,,
LSL1004,809,-1.62915697,-0.999211126,1,0,,
LSL1005,888,-1.368596494,-1.146401608,1,0,,
LSL1006,780,-1.724805752,-1.2065012,1,0,,
LSL2001,650,-2.153576154,-1.182782797,1,0,,
LSL2002,701,-1.985366227,-1.056803205,1,0,,
LSL2003,745,-1.840243937,-0.85762265,1,0,,
LSL2004,714,-1.942489187,-0.949550629,1,0,,
LSL2005,720,-1.922699784,-1.064716376,1,0,,