,model,formula,lam(distP.v),SElam(distP.v),lam(distSH.v),SElam(distSH.v),lam(ele.s),SElam(ele.s),lam(Int),SElam(Int),p(cam_angle),SEp(cam_angle),p(camhours),SEp(camhours),p(Int),SEp(Int),Converge,CondNum,negLogLike,nPars,n,AIC,delta,AICwt,Rsq,cumltvWt,,lam(distP.v),SElam(distP.v),lam(distSH.v),SElam(distSH.v),lam(ele.s),SElam(ele.s),lam(Int),SElam(Int),p(cam_angle),SEp(cam_angle),p(camhours),SEp(camhours),p(Int),SEp(Int)
14,m014,~camhours + cam_angle ~ distSH.v,,,-0.440956502,0.246456287,,,-0.407442754,0.336462567,9.387904527,40.57961068,3.767857678,38.05446219,-14.59588391,40.61337915,0,222567.9709,251.3660847,5,115,512.7321694,0,0.29300338,NA,0.29300338,,0,0,-0.129201745,0.072212525,0,0,-0.119382104,0.098584669,2.750687758,11.88996309,1.103995035,11.15008605,-4.276643322,11.89985737
15,m015,~camhours + cam_angle ~ distP.v + distSH.v,-0.419703963,0.378175694,-0.436090035,0.241199431,,,-0.331735903,0.338646911,10.77321936,76.02535053,10.7034745,205.0824325,-16.29624533,76.53945425,0,2868383.964,250.7068805,6,115,513.4137611,0.681591698,0.208385201,NA,0.501388581,,-0.087460095,0.078806218,-0.09087471,0.050262392,0,0,-0.069128853,0.070569005,2.244979484,15.84255797,2.230445688,42.73614396,-3.395896364,15.94968958
13,m013,~camhours + cam_angle ~ distP.v,-0.435522463,0.393410686,,,,,-0.453029318,0.323510466,9.473613122,43.40056518,4.053785614,42.07287251,-14.66429247,43.43887837,0,253564.6801,252.1905974,5,115,514.3811949,1.649025508,0.128466914,NA,0.629855495,,-0.055950227,0.050540257,0,0,0,0,-0.058199278,0.041560391,1.217045841,5.575536667,0.520777327,5.404972088,-1.883876397,5.580458645
11,m011,~camhours + cam_angle ~ ele.s + distSH.v,,,-0.511240436,0.307320265,0.102957874,0.255109995,-0.407074903,0.335162228,10.00610226,55.37297096,3.06094128,27.98747329,-15.17863006,55.38668249,0,412379.3749,251.2834316,6,115,514.5668633,1.834693891,0.117077628,NA,0.746933123,,0,0,-0.059854817,0.035980328,0.012054064,0.029867673,-0.047659364,0.039239999,1.171490716,6.48293608,0.358367744,3.276706978,-1.777077999,6.484541393
12,m012,~camhours + cam_angle ~ ele.s + distP.v + distSH.v,-0.404854127,0.388333924,-0.465827262,0.312252592,0.040493965,0.265950648,-0.333877749,0.338804073,11.2465495,96.74125865,5.202830633,63.48430097,-16.53126426,96.78024761,0,1271311.93,250.696165,7,115,515.3923301,2.660160711,0.077486505,NA,0.824419628,,-0.031370731,0.030090638,-0.036095326,0.024195362,0.003137736,0.020607586,-0.02587102,0.026252743,0.871455811,7.496142003,0.403149161,4.919176592,-1.280949887,7.499163121
9,m009,~camhours + cam_angle ~ ele.s,,,,,-0.093723425,0.20556123,-0.512741551,0.326526485,10.22355824,65.34916251,5.23733597,59.7999735,-15.46186603,65.40007717,0,575290.8742,252.7303165,5,115,515.460633,2.728463617,0.074884905,NA,0.899304533,,0,0,0,0,-0.00701847,0.015393433,-0.038396602,0.024451905,0.765590189,4.893665834,0.392197407,4.478115341,-1.15786037,4.897478573
10,m010,~camhours + cam_angle ~ ele.s + distP.v,-0.529249672,0.410666626,,,-0.175964715,0.212415113,-0.403031731,0.332981968,8.237289212,22.3517586,2.623988932,20.6306223,-13.39494395,22.370918,0,68158.35649,251.8580687,6,115,515.7161373,2.983967923,0.065904069,NA,0.965208602,,-0.034879707,0.027064602,0,0,-0.011596791,0.01399902,-0.026561431,0.021944867,0.542870876,1.473071839,0.172931547,1.359641954,-0.882781309,1.474334522
1,m001,~1 ~ 1,,,,,,,-0.716453149,0.312764757,,,,,-4.995037655,0.311700573,0,7.48742456,257.8794377,2,115,519.7588754,7.026706001,0.008730574,NA,0.973939176,,0,0,0,0,0,0,-0.006255047,0.002730616,0,0,0,0,-0.043609547,0.002721325
7,m007,~camhours ~ distSH.v,,,-0.321488955,0.235350161,,,-0.642073951,0.320069031,,,2.736810495,21.78194729,-5.108296839,0.98798214,0,20912.82023,255.9808975,4,115,519.9617951,7.229625674,0.007888226,NA,0.981827402,,0,0,-0.002535978,0.001856495,0,0,-0.005064825,0.002524777,0,0,0.021588581,0.17182093,-0.040295402,0.007793427
6,m006,~camhours ~ distP.v,-0.299164965,0.375871315,,,,,-0.673993795,0.313118851,,,2.765229797,21.49449539,-5.089606251,0.973276821,0,20255.92844,256.5256098,4,115,521.0512195,8.319050153,0.00457524,NA,0.986402642,,-0.001368751,0.001719701,0,0,0,0,-0.003083683,0.001432594,0,0,0.012651589,0.098342466,-0.023286168,0.004452975
8,m008,~camhours ~ distP.v + distSH.v,-0.240799979,0.355882387,-0.299451831,0.232410019,,,-0.603600212,0.322558974,,,3.451151435,32.12892644,-5.149152514,1.416155731,0,45923.31475,255.7415506,5,115,521.4831012,8.750931838,0.00368665,NA,0.990089292,,-0.000887745,0.001312014,-0.001103974,0.000856814,0,0,-0.002225263,0.001189162,0,0,0.012723188,0.118448111,-0.018983124,0.005220871
2,m002,~camhours ~ ele.s,,,,,-0.052788082,0.210556566,-0.717457571,0.312365416,,,2.770409427,21.27824888,-5.083077177,0.964730929,0,19729.87408,256.8218451,4,115,521.6436901,8.911520719,0.003402205,NA,0.993491497,,0,0,0,0,-0.000179596,0.000716357,-0.002440938,0.001062731,0,0,0.009425501,0.072392967,-0.017293671,0.003282213
4,m004,~camhours ~ ele.s + distSH.v,,,-0.399214239,0.294066147,0.122245456,0.261732588,-0.640198883,0.319351557,,,2.749250463,22.38139286,-5.104922908,1.012479794,0,22052.83467,255.8685364,5,115,521.7370729,9.0049035,0.003247003,NA,0.9967385,,0,0,-0.00129625,0.000954834,0.000396931,0.000849846,-0.002078728,0.001036935,0,0,0.008926824,0.072672448,-0.0165757,0.003287525
3,m003,~camhours ~ ele.s + distP.v,-0.316945,0.375033363,,,-0.079319365,0.209805958,-0.658565502,0.316750889,,,2.859374198,22.52343278,-5.102770706,1.016226529,0,22365.65883,256.4546944,5,115,522.9093887,10.17721933,0.001806831,NA,0.998545331,,-0.000572666,0.000677622,0,0,-0.000143317,0.000379084,-0.001189917,0.000572315,0,0,0.005166406,0.040696037,-0.009219844,0.00183615
5,m005,~camhours ~ ele.s + distP.v + distSH.v,-0.22036046,0.357448877,-0.366341449,0.297349397,0.098974388,0.264999812,-0.605607295,0.322002338,,,2.823935643,23.31512612,-5.11764063,1.050885167,0,24154.019,255.6714905,6,115,523.342981,10.61081157,0.001454669,NA,1,,-0.000320552,0.00051997,-0.000532906,0.000432545,0.000143975,0.000385487,-0.000880958,0.000468407,0,0,0.004107892,0.03391579,-0.007444473,0.00152869
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,~camhours + cam_angle ~ ele.s,,,,,,,,,,,,,,,,,,,,515.460633,,,,,summarize ,-0.014187365,0.012715401,-0.021433047,0.012450086,-0.000213698,0.005479899,-0.027227867,0.022241408,0.637608045,3.576924899,0.350430259,4.928875448,-0.988786238,3.587709758
,,~camhours + cam_angle ~ disturbance.v,,,,,,,,,,,,,,,,,,,,515.5365169,,,,,,,,,,,,,,,,,,,
,,~camhours + cam_angle ~ disturbance,,,,,,,,,,,,,,,,,,,,515.5845246,,,,,,Mean,SE,95%CI,low CI,hi CI,significant,99%CI,low CI,hi CI,significant,trend,,,
,,~camhours + cam_angle ~ ele.s + disturbance.v,,,,,,,,,,,,,,,,,,,,517.3842051,,,,,distP.v,-0.014187365,0.012715401,0.024795033,-0.038982398,0.010607668,,0.025303649,-0.039491014,-0.039491014,,,,,
,,~camhours + cam_angle ~ ele.s + disturbance,,,,,,,,,,,,,,,,,,,,517.4104778,,,,,distSH.v,-0.021433047,0.012450086,0.024277668,-0.045710715,0.002844621,,0.024775672,-0.046208719,0.003342625,,,,,
,,~camhours + cam_angle ~ disturbance + disturbance.v,,,,,,,,,,,,,,,,,,,,517.4379893,,,,,ele,-0.000213698,0.005479899,0.010685803,-0.010899501,0.010472105,,0.010904999,-0.011118697,0.010691301,,,,,
,,~camhours + cam_angle ~ ele.s + disturbance + disturbance.v,,,,,,,,,,,,,,,,,,,,519.2482442,,,,,,,,,,,,,,,,,,,
,,~1 ~ 1,,,,,,,,,,,,,,,,,,,,519.7588754,,,,,cam_angle,0.637608045,3.576924899,6.975003553,-6.337395508,7.612611598,,7.118080549,-6.480472504,7.755688594,,,,,
,,~camhours ~ disturbance,,,,,,,,,,,,,,,,,,,,521.6138136,,,,,camhours,0.350430259,4.928875448,9.611307123,-9.260876863,9.961737382,,9.808462141,-9.458031881,10.1588924,,,,,
,,~camhours ~ disturbance.v,,,,,,,,,,,,,,,,,,,,521.6402139,,,,,,,,,,,,,,,,,,,
,,~camhours ~ ele.s,,,,,,,,,,,,,,,,,,,,521.6436901,,,,,,,,,,,,,,,,,,,
,,~camhours ~ disturbance + disturbance.v,,,,,,,,,,,,,,,,,,,,523.5441146,,,,,,,,,,,,,,,,,,,
,,~camhours ~ ele.s + disturbance,,,,,,,,,,,,,,,,,,,,523.5580706,,,,,,,,,,,,,,,,,,,
,,~camhours ~ ele.s + disturbance.v,,,,,,,,,,,,,,,,,,,,523.5869764,,,,,,,,,,,,,,,,,,,
,,~camhours ~ ele.s + disturbance + disturbance.v,,,,,,,,,,,,,,,,,,,,525.4950752,,,,,,,,,,,,,,,,,,,