,model,formula,lam(ele.s),SElam(ele.s),lam(Int),SElam(Int),lam(PAsize),SElam(PAsize),lam(pop.ed),SElam(pop.ed),lam(pop.p),SElam(pop.p),lam(pop3000),SElam(pop3000),lam(pop500),SElam(pop500),lam(puns),SElam(puns),lam(wtedu),SElam(wtedu),p(cam_angle),SEp(cam_angle),p(camhours),SEp(camhours),p(Int),SEp(Int),Converge,CondNum,negLogLike,nPars,n,AIC,delta,AICwt,Rsq,cumltvWt
14,m014,~camhours + cam_angle ~ ele.s + PAsize + puns + wtedu,0.183251772,0.114191686,-1.400367356,1.660028434,0.663816903,0.14573613,,,,,,,,,19.80158575,6.524164734,-1.228507724,0.213072403,0.390368773,0.255845583,0.065793281,0.078825358,-4.709372626,0.291687619,0,423268.1377,1239.622445,8,115,2495.24489,0,0.999190794,,0.999190794
13,m013,~camhours + cam_angle ~ ele.s + PAsize + wtedu,0.18458357,0.113111079,3.789436805,0.703810229,0.310843106,0.045624574,,,,,,,,,,,-0.998600151,0.183271213,0.315269466,0.26004731,0.067224968,0.078874494,-4.634718448,0.296694286,0,5184.304113,1247.742772,7,115,2509.485544,14.24065384,0.000807848,,0.999998642
8,m008,~camhours + cam_angle ~ ele.s + PAsize + pop500,0.383952078,0.137432127,-0.630833907,0.249900723,0.254371802,0.038966321,,,,,,,0.786656155,0.187517866,,,,,0.049033099,0.2660862,0.067160392,0.078933206,-4.319265157,0.290861455,0,1004.714807,1254.137503,7,115,2522.275005,27.03011522,1.35E-06,,0.999999991
9,m009,~camhours + cam_angle ~ ele.s + PAsize + pop3000,0.229754089,0.135195505,-0.447931494,0.225946606,0.201487692,0.034949224,,,,,0.444120027,0.181184677,,,,,,,-0.020532355,0.268499875,0.06753089,0.078719418,-4.164656207,0.280010361,0,933.2270882,1259.901444,7,115,2533.802887,38.5579973,4.24E-09,,0.999999996
12,m012,~camhours + cam_angle ~ ele.s + PAsize + puns,-0.011273301,0.121968606,-1.915090802,0.821841507,0.234472275,0.050221628,,,,,,,,,5.301730517,2.506774501,,,0.030167209,0.270416881,0.065840291,0.078173113,-4.121479176,0.272827632,0,41404.05679,1260.40699,7,115,2534.81398,39.56908956,2.55E-09,,0.999999998
10,m010,~camhours + cam_angle ~ ele.s + PAsize + pop.p,0.173571312,0.134833034,-0.372091561,0.215180126,0.179153655,0.032097512,,,0.295966584,0.175290379,,,,,,,,,-0.030490278,0.269249002,0.067814395,0.078715756,-4.129334194,0.277126191,0,909.1022788,1261.439861,7,115,2536.879722,41.63483205,9.09E-10,,0.999999999
7,m007,~camhours + cam_angle ~ ele.s + PAsize,0.058340238,0.116292649,-0.307225485,0.20480468,0.151791829,0.026763759,,,,,,,,,,,,,-0.012437609,0.269713496,0.067792358,0.078591195,-4.103175315,0.273757714,0,864.8725189,1262.804301,6,115,2537.608603,42.3637128,6.32E-10,,1
11,m011,~camhours + cam_angle ~ ele.s + PAsize + pop.ed,0.045503183,0.130981755,-0.299981768,0.207740352,0.148486407,0.031160788,-0.041009526,0.194154663,,,,,,,,,,,-0.007995113,0.270852388,0.067275701,0.078431985,-4.104290364,0.273812716,0,874.5395416,1262.781677,7,115,2539.563355,44.31846482,2.38E-10,,1
6,m006,~camhours + cam_angle ~ ele.s + pop.ed,0.03441352,0.132014768,0.212311672,0.146665021,,,-0.5193568,0.198558613,,,,,,,,,,,0.084128789,0.26487578,0.0677548,0.077937005,-4.038057282,0.260432128,0,43.18314333,1274.113965,6,115,2560.22793,64.98304012,7.74E-15,,1
1,m001,~1 ~ 1,,,0.319529039,0.131187112,,,,,,,,,,,,,,,,,,,-3.954929569,0.111382206,0,5.060035776,1281.059763,2,115,2566.119526,70.87463584,4.07E-16,,1
2,m002,~camhours + cam_angle ~ ele.s,0.227151345,0.112739819,0.294549539,0.133334444,,,,,,,,,,,,,,,0.049136593,0.258719872,0.068807113,0.078110858,-3.998813495,0.253913228,0,40.17088988,1278.330669,5,115,2566.661338,71.41644828,3.10E-16,,1
5,m005,~camhours + cam_angle ~ ele.s + pop.p,0.129820239,0.139242213,0.26490413,0.137466354,,,,,-0.19069973,0.161873015,,,,,,,,,0.055414102,0.26034491,0.068140703,0.077958715,-3.995412849,0.25489422,0,41.15740901,1277.60767,6,115,2567.21534,71.97044979,2.35E-16,,1
4,m004,~camhours + cam_angle ~ ele.s + pop3000,0.139937617,0.138183912,0.270724587,0.136710353,,,,,,,-0.171033198,0.157191832,,,,,,,0.047398631,0.260214212,0.068277273,0.07799591,-3.991189491,0.254855018,0,41.22070694,1277.722794,6,115,2567.445588,72.20069763,2.10E-16,,1
3,m003,~camhours + cam_angle ~ ele.s + pop500,0.214157814,0.139424548,0.291395749,0.134720047,,,,,,,,,-0.024212099,0.15113767,,,,,0.046865037,0.259031607,0.068565887,0.078048628,-3.995448529,0.254433693,0,40.87817565,1278.317819,6,115,2568.635639,73.39074859,1.16E-16,,1