"","model","formula","lam(dis)","SElam(dis)","lam(edu)","SElam(edu)","lam(ele.s)","SElam(ele.s)","lam(income)","SElam(income)","lam(Int)","SElam(Int)","lam(PAsize)","SElam(PAsize)","lam(pop3000.s)","SElam(pop3000.s)","lam(popEDU)","SElam(popEDU)","lam(popIN)","SElam(popIN)","lam(popPUN)","SElam(popPUN)","lam(popREACH)","SElam(popREACH)","lam(popSH)","SElam(popSH)","lam(popSP)","SElam(popSP)","lam(punish)","SElam(punish)","lam(reach)","SElam(reach)","lam(score.H)","SElam(score.H)","p(cam_angle)","SEp(cam_angle)","p(camhours)","SEp(camhours)","p(Int)","SEp(Int)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"17","m017","~camhours + cam_angle ~ ele.s + PAsize + dis + reach + punish",-0.0205444110537879,0.141776429355516,NA,NA,0.273897290291887,0.155674133944024,NA,NA,-8.13954382357167,2.18799627397778,0.365205976194999,0.0786026237144123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.50073115997916,1.90843804180843,0.679368807467754,0.12674148404655,NA,NA,1.11471898211096,0.274723431442235,-0.0347477020182104,0.0558743909405094,-4.9825416269001,0.299176582748731,0,60525.2092204275,1424.88605569248,9,115,2867.77211138496,0,0.59850800935916,NA,0.59850800935916
"20","m020","~camhours + cam_angle ~ ele.s + PAsize + dis + pop3000.s + reach + punish",-0.00186644029641846,0.142653694690958,NA,NA,0.322927082336958,0.167035948676075,NA,NA,-7.49311288531043,1.97985166503014,0.380286493357021,0.0774248419322759,0.532474763995248,0.559887341941965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.80487079930869,1.79958277837774,0.422125862328419,0.295015306723733,NA,NA,1.10419616708139,0.274378477542154,-0.0349953952356836,0.0558568952162461,-4.98420892160811,0.299076941588546,0,48394.1712635651,1424.48253926893,10,115,2868.96507853786,1.19296715290011,0.329625226179814,NA,0.928133235538974
"11","m011","~camhours + cam_angle ~ ele.s + dis + PAsize + popPUN",-0.0443663119363974,0.133418511804675,NA,NA,0.548534758631384,0.156258081862965,NA,NA,-1.23265554674271,0.328683719899673,0.320977458002954,0.0526220516902361,NA,NA,NA,NA,NA,NA,1.21324398617433,0.153548091891507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.07590217522678,0.275078692753533,-0.034870521833333,0.0558303079098639,-4.95884950834066,0.301642115350088,0,1000.16518402731,1428.19614160728,8,115,2872.39228321457,4.62017182960608,0.0594035502139003,NA,0.987536785752875
"10","m010","~camhours + cam_angle ~ ele.s + dis + PAsize + popREACH",-0.0904521571652564,0.135222613157728,NA,NA,0.551167277632277,0.156979531119695,NA,NA,-1.0686553402177,0.306892364354178,0.29223443848068,0.0487529640671946,NA,NA,NA,NA,NA,NA,NA,NA,1.11876892160347,0.141733436116897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.07492592356614,0.276168507378743,-0.0341090032245473,0.0558394264271036,-4.9470870676637,0.30228894229269,0,1004.9645197086,1430.18032413713,8,115,2876.36064827426,8.58853688929548,0.00816757022573743,NA,0.995704355978612
"18","m018","~camhours + cam_angle ~ ele.s + PAsize + dis + score.H",-0.0187641989482615,0.13399417807685,NA,NA,0.283022708366571,0.142929171954694,NA,NA,5.6118907662216,0.743716214263164,0.340784669161087,0.0616051871519248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-19.6389949632939,2.84379016287255,1.10446397945601,0.280306852824486,-0.0348949649388861,0.0559364601931112,-4.91807891490331,0.302006389925426,0,50677.4785841908,1430.86697779125,8,115,2877.73395558251,9.96184419754445,0.00411038956432701,NA,0.999814745542939
"19","m019","~camhours + cam_angle ~ ele.s + PAsize + dis + edu + income",-0.0990038643389558,0.138282537431116,-3.50591520229408,0.623520630268786,0.360276510957954,0.15362161467731,0.26691264442171,0.0638984655619341,5.68485092170881,0.736988445735183,0.642675304371477,0.106636868224777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.06430259533693,0.278435610539685,-0.0326716199749264,0.0559736781564524,-4.91078748365944,0.30195077547144,0,100991.952419016,1432.96652496834,9,115,2883.93304993667,16.160938551709,0.000185253639503159,NA,0.999999999182442
"4","m004","~camhours + cam_angle ~ ele.s + dis + popPUN",0.551233681698528,0.102644273637204,NA,NA,0.28633489290606,0.135944142946018,NA,NA,0.210284967853401,0.139545298505733,NA,NA,NA,NA,NA,NA,NA,NA,0.66712138499854,0.111462120228485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.920541823299573,0.293253844492412,-0.0355698136635354,0.0561397988997912,-4.64984378416741,0.310882702869999,0,76.2817114489933,1447.72280290623,7,115,2909.44560581245,41.6734944274885,5.34300561835339e-10,NA,0.999999999716743
"3","m003","~camhours + cam_angle ~ ele.s + dis + popREACH",0.492818486479512,0.102588870897367,NA,NA,0.308968323342556,0.139824421800415,NA,NA,0.224986620682502,0.13950833334807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.640338894418917,0.108164855966226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.919902969795657,0.293665474559303,-0.0347614828295011,0.0561217135557524,-4.651130238358,0.311800726734643,0,76.9072576730814,1448.35811105368,7,115,2910.71622210737,42.9441107224084,2.83057592226282e-10,NA,0.9999999999998
"16","m016","~camhours + cam_angle ~ ele.s + dis + PAsize + pop3000.s",0.0280556883149931,0.140038139285689,NA,NA,0.351540912477031,0.177992754652508,NA,NA,-0.663118818280555,0.276511989473238,0.193208656104224,0.050021048155536,0.650040540590391,0.203359221823036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.469233194389648,0.297968112944731,-0.0373462302301974,0.0561238976983102,-4.12661104712047,0.303183023629094,0,1026.22432240147,1454.66391568321,8,115,2925.32783136642,57.5557199814589,1.90109654093642e-13,NA,0.999999999999991
"9","m009","~camhours + cam_angle ~ ele.s + dis + PAsize",0.190421341616869,0.133119369073086,NA,NA,-0.0141634642769941,0.133372659417476,NA,NA,-0.271040031494234,0.228264061596624,0.0934481777304942,0.03795255273878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.397803179360145,0.29442674084772,-0.0386410134978831,0.0561816975099862,-3.99963768056794,0.29467363659179,0,935.125463364332,1459.90505994799,7,115,2933.81011989597,66.0380085110128,2.73588992734799e-15,NA,0.999999999999993
"12","m012","~camhours + cam_angle ~ ele.s + dis + PAsize + popSP",0.167483225919648,0.13973184632611,NA,NA,0.0329247377486234,0.161926125900505,NA,NA,-0.303829088499616,0.239102632480629,0.103592834976424,0.0429647415487447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0890806208151541,0.174874720971613,NA,NA,NA,NA,NA,NA,0.400479994737221,0.294610005500293,-0.0379455363411229,0.0562618594333575,-4.00848917653288,0.295344103442035,0,947.180285635163,1459.7757653557,8,115,2935.55153071139,67.7794193264331,1.14539706666961e-15,NA,0.999999999999994
"13","m013","~camhours + cam_angle ~ ele.s + dis + PAsize + popSH",0.210493197973957,0.13932173467292,NA,NA,-0.0564615270704018,0.157294620322182,NA,NA,-0.229853714838932,0.241109383393731,0.0816507888987202,0.0444898649766865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0942226606274493,0.189800181224071,NA,NA,NA,NA,NA,NA,NA,NA,0.401858408793598,0.294868347270025,-0.0389950826895934,0.0561477774705611,-4.00101025456493,0.295011602821071,0,940.481015546849,1459.77895939477,8,115,2935.55791878955,67.7858074045876,1.14174446006911e-15,NA,0.999999999999996
"15","m015","~camhours + cam_angle ~ ele.s + dis + PAsize + popIN",0.207358554191037,0.137734851418076,NA,NA,-0.0530591338344329,0.154380133124153,NA,NA,-0.229856279592504,0.241294679393964,0.0820082253428403,0.0442642538011936,NA,NA,NA,NA,-0.0928550395731706,0.188494875556849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4054730282864,0.295302226348727,-0.0386699233016494,0.0561857175879816,-4.0052223366356,0.295467192895214,0,946.906977089625,1459.78069422468,8,115,2935.56138844935,67.7892770643898,1.13976544476414e-15,NA,0.999999999999997
"14","m014","~camhours + cam_angle ~ ele.s + dis + PAsize + popEDU",0.187079577407408,0.138108988503307,NA,NA,-0.00634136376791637,0.15938761316186,NA,NA,-0.278189140387916,0.242064468844013,0.0954119462564886,0.0438349584210975,NA,NA,0.0163126005277123,0.182091511231955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.397055917389896,0.294511690824691,-0.03861928000588,0.056183041408466,-3.99941339194978,0.294640101019634,0,944.745574238812,1459.90106124299,8,115,2935.80212248599,68.030011101027,1.01051032215856e-15,NA,0.999999999999998
"5","m005","~camhours + cam_angle ~ ele.s + dis + popSH",0.39269209793265,0.100041073734994,NA,NA,-0.123782371779451,0.150688235052398,NA,NA,0.115840938923062,0.133974597691913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.263095754410142,0.16935281062436,NA,NA,NA,NA,NA,NA,NA,NA,0.433291472041073,0.293311341762032,-0.0389027913563946,0.0562444982437121,-4.02232947895509,0.293777527184082,0,69.3013380376568,1461.40577394562,7,115,2936.81154789124,69.0394365062821,6.10023846524295e-16,NA,0.999999999999998
"7","m007","~camhours + cam_angle ~ ele.s + dis + popIN",0.384856770209174,0.101264077095449,NA,NA,-0.114064911952807,0.149123137155675,NA,NA,0.119633485720111,0.133466109346243,NA,NA,NA,NA,NA,NA,-0.260910951047106,0.17090476072493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.442454613782109,0.293714596979099,-0.0382905386434518,0.056300149380327,-4.03322657776705,0.294336618657464,0,69.7364839281961,1461.44286887429,7,115,2936.88573774857,69.1136263636095,5.87809620258948e-16,NA,0.999999999999999
"2","m002","~camhours + cam_angle ~ ele.s + dis",0.414410060177567,0.0985105747160124,NA,NA,-0.00139251489580189,0.130438740249573,NA,NA,0.149127154426399,0.129220084235285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.433302048002756,0.291386401546093,-0.038346103008351,0.0562510060169781,-4.02838989220029,0.291761215427928,0,67.2978360478864,1462.72626705201,6,115,2937.45253410402,69.6804227190614,4.42749852127465e-16,NA,0.999999999999999
"8","m008","~camhours + cam_angle ~ ele.s + dis + pop3000.s",0.433613819660465,0.0995593023556904,NA,NA,0.112479540877529,0.160865666339487,NA,NA,0.166774563276984,0.130054448954384,NA,NA,0.189267139998386,0.155716878130693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.468507947094834,0.293064483784228,-0.0377211918103613,0.0562524133552921,-4.07854967511515,0.295932683136621,0,71.0886885590817,1461.99467929902,7,115,2937.98935859804,70.2172472130792,3.38523223018757e-16,NA,1
"6","m006","~camhours + cam_angle ~ ele.s + dis + popEDU",0.401064155106451,0.0999295936571961,NA,NA,-0.0851518078878457,0.153138212758312,NA,NA,0.131631894783311,0.131740488432747,NA,NA,NA,NA,-0.167324112738952,0.164038829991029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.432892117714022,0.292456972843116,-0.0385713532584126,0.056249699168315,-4.0234317058806,0.292866550781206,0,68.9704844940754,1462.17905305077,7,115,2938.35810610154,70.5859947165786,2.81524349772219e-16,NA,1
"1","m001","~1 ~ 1",NA,NA,NA,NA,NA,NA,NA,NA,0.151676508192783,0.119737987973874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.55295709507382,0.0903955529302519,0,3.88977500805562,1475.23865415222,2,115,2954.47730830444,86.7051969194745,8.89765739866293e-20,NA,1
